Location,Banding Site,Latitude,Longitude,PointID,,,,,
Taricaya,Taricaya,-12.525775,-68.983515,1,,,,,
BDFFP,KM41,-2.442894,-59.768124,2,,,,,
Limbo,Limbo,9.1605,-79.747951,3,,,,,
Tiputini,Harpia,-0.630391,-76.139279,4,,,,,
Tiputini,Puma,-0.624642,-76.161876,5,,,,,
CRBO,CANO,10.593324,-83.527851,6,,,,,
CRBO,TORT,10.571315,-83.520748,7,,,,,
CRBO,AERO,10.563538,-83.512411,8,,,,,
CRBO,CCC,10.54862,-83.505577,9,,,,,
CRBO,PARQ,10.536574,-83.499964,10,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
